Date,Open,High,Low,Close,Adj Close,Volume
2002-05-30,13.690000,14.110000,12.990000,13.030000,13.030000,1663700
2002-05-31,13.160000,13.430000,12.990000,13.020000,13.020000,308600
2002-06-03,13.110000,13.260000,13.000000,13.000000,13.000000,99700
2002-06-04,13.140000,13.140000,12.650000,12.800000,12.800000,350200
2002-06-05,12.800000,12.800000,12.280000,12.320000,12.320000,51000
2002-06-06,12.260000,12.350000,12.250000,12.250000,12.250000,11000
2002-06-07,12.350000,12.590000,12.250000,12.510000,12.510000,21900
2002-06-10,12.600000,13.000000,12.600000,12.950000,12.950000,77400
2002-06-11,13.000000,13.590000,12.800000,13.000000,13.000000,83200
2002-06-12,13.100000,14.150000,13.100000,14.140000,14.140000,43000
2002-06-13,14.000000,15.100000,14.000000,14.600000,14.600000,51100
2002-06-14,14.500000,14.500000,13.600000,14.310000,14.310000,32000
2002-06-17,14.400000,14.550000,14.200000,14.410000,14.410000,14400
2002-06-18,14.450000,14.500000,13.610000,13.810000,13.810000,15500
2002-06-19,13.810000,13.950000,13.650000,13.660000,13.660000,23300
2002-06-20,13.890000,13.890000,12.970000,13.220000,13.220000,44600
2002-06-21,13.200000,13.250000,12.960000,13.100000,13.100000,15400
2002-06-24,13.100000,13.350000,12.950000,13.160000,13.160000,25400
2002-06-25,13.200000,13.740000,13.090000,13.410000,13.410000,32500
2002-06-26,13.300000,13.500000,13.110000,13.500000,13.500000,23300
2002-06-27,13.600000,14.060000,13.450000,14.060000,14.060000,21500
2002-06-28,14.100000,14.550000,13.970000,14.050000,14.050000,162400
2002-07-01,14.000000,14.610000,13.400000,14.550000,14.550000,125500
2002-07-02,14.390000,14.500000,13.260000,13.260000,13.260000,59700
2002-07-03,13.260000,13.750000,13.200000,13.250000,13.250000,105600
2002-07-05,13.250000,13.250000,12.770000,13.000000,13.000000,61800
2002-07-08,12.790000,13.180000,12.000000,12.520000,12.520000,42900
2002-07-09,12.450000,12.450000,12.150000,12.260000,12.260000,24400
2002-07-10,12.350000,12.980000,12.340000,12.920000,12.920000,9000
2002-07-11,12.920000,12.950000,12.550000,12.560000,12.560000,10300
2002-07-12,12.500000,12.700000,12.420000,12.430000,12.430000,9800
2002-07-15,12.420000,13.000000,12.100000,12.990000,12.990000,24100
2002-07-16,13.000000,13.050000,12.640000,13.050000,13.050000,9000
2002-07-17,12.750000,12.800000,12.600000,12.620000,12.620000,7300
2002-07-18,12.700000,12.940000,12.180000,12.250000,12.250000,18000
2002-07-19,12.250000,13.190000,12.100000,12.360000,12.360000,101000
2002-07-22,12.260000,12.260000,10.770000,10.900000,10.900000,91900
2002-07-23,11.000000,11.000000,8.250000,8.440000,8.440000,47900
2002-07-24,8.550000,9.050000,8.020000,8.700000,8.700000,88000
2002-07-25,8.890000,9.190000,8.400000,8.850000,8.850000,8200
2002-07-26,8.500000,8.500000,8.010000,8.400000,8.400000,20400
2002-07-29,8.400000,9.300000,8.400000,8.850000,8.850000,27400
2002-07-30,8.840000,9.140000,7.800000,7.950000,7.950000,20100
2002-07-31,8.040000,8.290000,7.800000,7.800000,7.800000,63700
2002-08-01,7.750000,7.870000,7.700000,7.700000,7.700000,31100
2002-08-02,7.790000,8.000000,7.300000,7.310000,7.310000,36900
2002-08-05,7.400000,7.400000,7.190000,7.250000,7.250000,21800
2002-08-06,7.210000,7.430000,7.150000,7.230000,7.230000,23200
2002-08-07,7.090000,7.250000,7.090000,7.220000,7.220000,28800
2002-08-08,7.250000,7.250000,7.250000,7.250000,7.250000,400
2002-08-09,7.150000,7.250000,7.150000,7.170000,7.170000,4500
2002-08-12,7.180000,7.240000,7.180000,7.230000,7.230000,1100
2002-08-13,7.300000,7.380000,7.080000,7.380000,7.380000,182700
2002-08-14,7.480000,7.480000,7.200000,7.250000,7.250000,11100
2002-08-15,7.200000,7.300000,7.150000,7.150000,7.150000,9900
2002-08-16,7.100000,7.200000,7.060000,7.200000,7.200000,3100
2002-08-19,7.200000,7.200000,7.000000,7.040000,7.040000,3200
2002-08-20,7.000000,7.180000,7.000000,7.060000,7.060000,100600
2002-08-21,7.150000,7.150000,6.990000,6.990000,6.990000,29200
2002-08-22,7.150000,7.150000,7.050000,7.140000,7.140000,2500
2002-08-23,7.050000,7.100000,6.890000,6.890000,6.890000,3200
2002-08-26,6.950000,7.140000,6.850000,7.070000,7.070000,102800
2002-08-27,7.170000,7.240000,6.820000,6.820000,6.820000,1200
2002-08-28,7.020000,7.020000,5.880000,5.960000,5.960000,151100
2002-08-29,6.150000,6.400000,5.900000,6.010000,6.010000,6300
2002-08-30,6.270000,6.320000,5.900000,6.130000,6.130000,3200
2002-09-03,6.100000,6.100000,5.900000,5.960000,5.960000,12200
2002-09-04,5.970000,5.970000,5.340000,5.590000,5.590000,13400
2002-09-05,5.590000,5.600000,5.400000,5.400000,5.400000,68700
2002-09-06,5.600000,5.700000,5.250000,5.500000,5.500000,72200
2002-09-09,5.750000,5.750000,5.390000,5.500000,5.500000,50600
2002-09-10,5.500000,5.690000,5.250000,5.680000,5.680000,259800
2002-09-11,5.560000,6.200000,5.560000,6.090000,6.090000,12000
2002-09-12,6.070000,6.080000,5.700000,5.800000,5.800000,9200
2002-09-13,5.800000,6.170000,5.800000,6.050000,6.050000,12900
2002-09-16,6.130000,6.620000,6.130000,6.500000,6.500000,32100
2002-09-17,6.540000,6.800000,6.500000,6.750000,6.750000,31900
2002-09-18,6.770000,6.880000,5.900000,5.900000,5.900000,14500
2002-09-19,6.000000,6.250000,5.800000,6.100000,6.100000,39900
2002-09-20,6.350000,6.360000,6.150000,6.320000,6.320000,16800
2002-09-23,6.150000,6.230000,5.950000,6.000000,6.000000,17800
2002-09-24,5.920000,6.040000,5.760000,5.970000,5.970000,17000
2002-09-25,5.970000,6.000000,5.850000,6.000000,6.000000,7200
2002-09-26,6.070000,6.150000,5.920000,6.000000,6.000000,7500
2002-09-27,6.000000,6.100000,5.780000,5.790000,5.790000,59900
2002-09-30,5.790000,6.000000,5.790000,5.950000,5.950000,31600
2002-10-01,5.860000,5.860000,5.840000,5.850000,5.850000,900
2002-10-02,5.840000,5.840000,5.600000,5.600000,5.600000,5100
2002-10-03,5.530000,5.600000,5.210000,5.280000,5.280000,31700
2002-10-04,5.210000,5.250000,4.980000,5.040000,5.040000,54200
2002-10-07,4.960000,4.960000,4.680000,4.700000,4.700000,12900
2002-10-08,4.680000,4.720000,4.410000,4.500000,4.500000,23400
2002-10-09,4.450000,4.510000,4.450000,4.460000,4.460000,2300
2002-10-10,4.460000,4.820000,4.460000,4.700000,4.700000,9500
2002-10-11,4.620000,4.860000,4.620000,4.700000,4.700000,6900
2002-10-14,4.650000,4.700000,4.400000,4.410000,4.410000,2800
2002-10-15,4.680000,4.700000,4.520000,4.520000,4.520000,4600
2002-10-16,4.520000,4.710000,4.510000,4.510000,4.510000,4100
2002-10-17,4.670000,4.730000,4.520000,4.520000,4.520000,14900
2002-10-18,4.580000,4.590000,4.450000,4.550000,4.550000,7300
2002-10-21,4.500000,4.690000,4.500000,4.600000,4.600000,32900
2002-10-22,4.650000,5.030000,4.650000,4.910000,4.910000,8200
2002-10-23,5.090000,5.430000,5.090000,5.400000,5.400000,29500
2002-10-24,5.420000,5.620000,5.320000,5.620000,5.620000,11300
2002-10-25,5.660000,7.090000,5.510000,7.000000,7.000000,37500
2002-10-28,7.100000,7.300000,6.800000,7.160000,7.160000,32900
2002-10-29,7.350000,8.430000,7.310000,8.030000,8.030000,135300
2002-10-30,8.110000,10.000000,8.100000,9.300000,9.300000,184400
2002-10-31,9.500000,10.370000,9.490000,10.090000,10.090000,113500
2002-11-01,10.060000,10.100000,9.270000,9.600000,9.600000,66400
2002-11-04,9.950000,10.050000,9.750000,10.000000,10.000000,112000
2002-11-05,9.990000,10.000000,9.650000,10.000000,10.000000,25300
2002-11-06,9.910000,10.000000,9.750000,10.000000,10.000000,22900
2002-11-07,9.900000,10.000000,9.720000,9.880000,9.880000,28400
2002-11-08,10.000000,10.000000,9.690000,9.750000,9.750000,10500
2002-11-11,9.670000,9.670000,9.350000,9.480000,9.480000,13000
2002-11-12,9.320000,9.480000,9.260000,9.400000,9.400000,9700
2002-11-13,9.310000,10.000000,9.300000,10.000000,10.000000,58600
2002-11-14,10.000000,10.000000,9.800000,9.890000,9.890000,75500
2002-11-15,9.760000,10.600000,9.680000,10.500000,10.500000,268900
2002-11-18,10.610000,11.500000,10.600000,10.800000,10.800000,108500
2002-11-19,10.840000,10.840000,10.450000,10.680000,10.680000,82500
2002-11-20,10.550000,10.700000,9.980000,10.180000,10.180000,79600
2002-11-21,10.180000,10.350000,9.720000,10.220000,10.220000,86700
2002-11-22,10.350000,11.380000,10.200000,10.310000,10.310000,238900
2002-11-25,10.290000,12.450000,10.250000,11.900000,11.900000,363500
2002-11-26,12.000000,12.090000,10.990000,11.190000,11.190000,293300
2002-11-27,11.650000,11.900000,11.190000,11.750000,11.750000,205000
2002-11-29,11.850000,13.420000,11.760000,13.420000,13.420000,115700
2002-12-02,14.510000,16.670000,14.180000,14.650000,14.650000,712300
2002-12-03,14.780000,15.600000,14.200000,15.430000,15.430000,281700
2002-12-04,15.390000,15.390000,14.600000,14.950000,14.950000,100900
2002-12-05,15.110000,15.820000,14.960000,15.000000,15.000000,82600
2002-12-06,14.990000,14.990000,13.740000,14.300000,14.300000,53600
2002-12-09,14.290000,14.800000,14.010000,14.190000,14.190000,57600
2002-12-10,14.000000,14.410000,13.510000,13.780000,13.780000,93700
2002-12-11,13.510000,13.730000,12.540000,13.620000,13.620000,126800
2002-12-12,13.630000,14.850000,13.600000,14.450000,14.450000,157600
2002-12-13,14.480000,14.900000,14.000000,14.490000,14.490000,72500
2002-12-16,14.360000,14.660000,13.650000,13.920000,13.920000,128000
2002-12-17,13.980000,14.000000,12.970000,13.300000,13.300000,110200
2002-12-18,13.250000,13.250000,12.000000,12.000000,12.000000,183100
2002-12-19,11.940000,12.450000,10.740000,12.240000,12.240000,153800
2002-12-20,12.470000,13.640000,12.300000,13.640000,13.640000,89700
2002-12-23,13.640000,14.510000,13.460000,14.430000,14.430000,95300
2002-12-24,14.340000,14.850000,14.300000,14.720000,14.720000,22000
2002-12-26,14.660000,14.660000,13.550000,13.800000,13.800000,146000
2002-12-27,14.510000,14.620000,12.910000,13.200000,13.200000,161000
2002-12-30,12.810000,13.190000,12.550000,13.020000,13.020000,172100
2002-12-31,12.980000,13.250000,12.850000,13.000000,13.000000,79600
2003-01-02,12.910000,13.400000,12.600000,13.310000,13.310000,88300
2003-01-03,13.520000,13.530000,12.950000,13.180000,13.180000,26800
2003-01-06,13.250000,13.250000,12.660000,12.760000,12.760000,52200
2003-01-07,12.800000,12.920000,12.370000,12.890000,12.890000,32600
2003-01-08,12.750000,13.000000,11.660000,12.250000,12.250000,59700
2003-01-09,12.280000,14.070000,12.050000,14.040000,14.040000,124200
2003-01-10,13.850000,14.200000,13.700000,13.940000,13.940000,44900
2003-01-13,14.100000,15.010000,13.880000,14.500000,14.500000,112700
2003-01-14,14.700000,16.150000,14.400000,15.100000,15.100000,285100
2003-01-15,15.110000,16.650000,15.050000,16.049999,16.049999,2053500
2003-01-16,16.370001,17.740000,16.360001,17.190001,17.190001,858200
2003-01-17,17.080000,17.570000,16.719999,17.570000,17.570000,207800
2003-01-21,17.250000,17.510000,16.750000,17.049999,17.049999,443700
2003-01-22,16.860001,17.049999,16.799999,16.940001,16.940001,173300
2003-01-23,17.059999,17.290001,16.770000,16.770000,16.770000,154400
2003-01-24,16.799999,17.150000,15.900000,16.049999,16.049999,296200
2003-01-27,16.000000,17.000000,15.300000,16.690001,16.690001,156600
2003-01-28,15.350000,15.740000,14.880000,15.250000,15.250000,349000
2003-01-29,15.290000,15.290000,14.750000,14.970000,14.970000,70300
2003-01-30,14.550000,15.380000,14.500000,14.910000,14.910000,117600
2003-01-31,14.890000,14.900000,14.350000,14.540000,14.540000,76800
2003-02-03,14.450000,14.590000,14.190000,14.200000,14.200000,35800
2003-02-04,14.200000,14.840000,14.200000,14.650000,14.650000,92900
2003-02-05,14.820000,15.200000,14.500000,14.800000,14.800000,97700
2003-02-06,14.580000,15.050000,14.500000,14.570000,14.570000,40900
2003-02-07,14.600000,14.970000,13.790000,14.330000,14.330000,77100
2003-02-10,14.200000,14.610000,13.300000,14.350000,14.350000,232700
2003-02-11,14.500000,15.050000,14.500000,14.800000,14.800000,54000
2003-02-12,14.870000,15.500000,14.790000,15.250000,15.250000,148300
2003-02-13,15.550000,15.990000,15.450000,15.660000,15.660000,1053400
2003-02-14,15.720000,16.250000,15.690000,16.150000,16.150000,150100
2003-02-18,16.299999,17.000000,16.299999,17.000000,17.000000,149600
2003-02-19,16.799999,16.860001,16.070000,16.820000,16.820000,107100
2003-02-20,16.870001,16.910000,16.400000,16.520000,16.520000,57900
2003-02-21,16.410000,16.600000,16.410000,16.559999,16.559999,40000
2003-02-24,16.660000,18.660000,16.660000,18.110001,18.110001,562400
2003-02-25,15.000000,15.590000,13.090000,14.850000,14.850000,2919500
2003-02-26,14.700000,15.000000,13.550000,13.670000,13.670000,455500
2003-02-27,13.770000,13.950000,12.510000,12.950000,12.950000,732900
2003-02-28,12.750000,13.000000,12.450000,12.700000,12.700000,240200
2003-03-03,12.590000,14.550000,12.590000,14.240000,14.240000,247700
2003-03-04,14.100000,14.300000,13.630000,13.940000,13.940000,125400
2003-03-05,13.750000,15.230000,13.750000,14.600000,14.600000,199300
2003-03-06,14.550000,14.760000,14.200000,14.470000,14.470000,146000
2003-03-07,14.170000,15.100000,14.100000,14.770000,14.770000,144600
2003-03-10,14.900000,14.900000,14.170000,14.310000,14.310000,73400
2003-03-11,14.400000,14.700000,14.270000,14.300000,14.300000,163600
2003-03-12,14.170000,14.500000,14.100000,14.460000,14.460000,34900
2003-03-13,14.670000,15.120000,14.450000,15.100000,15.100000,63500
2003-03-14,14.940000,15.000000,14.360000,14.400000,14.400000,98900
2003-03-17,14.390000,14.390000,13.550000,13.570000,13.570000,212600
2003-03-18,13.570000,13.570000,12.800000,12.950000,12.950000,233500
2003-03-19,12.800000,13.110000,9.950000,10.860000,10.860000,875500
2003-03-20,10.700000,11.250000,10.620000,11.100000,11.100000,330000
2003-03-21,11.150000,13.240000,11.080000,12.340000,12.340000,475200
2003-03-24,12.090000,12.650000,12.010000,12.210000,12.210000,174700
2003-03-25,12.200000,12.420000,12.000000,12.050000,12.050000,197000
2003-03-26,12.050000,12.150000,10.150000,10.400000,10.400000,890700
2003-03-27,10.450000,10.450000,9.600000,9.740000,9.740000,737000
2003-03-28,9.600000,10.270000,9.600000,9.920000,9.920000,187200
2003-03-31,9.910000,9.990000,9.730000,9.750000,9.750000,72200
2003-04-01,9.700000,10.390000,9.700000,10.390000,10.390000,215400
2003-04-02,10.890000,11.320000,10.510000,10.670000,10.670000,216700
2003-04-03,10.670000,10.760000,10.000000,10.020000,10.020000,162800
2003-04-04,10.040000,10.330000,10.040000,10.280000,10.280000,104800
2003-04-07,10.600000,11.050000,10.400000,10.810000,10.810000,218000
2003-04-08,10.840000,11.000000,10.650000,10.880000,10.880000,209800
2003-04-09,10.950000,11.200000,10.800000,11.080000,11.080000,109000
2003-04-10,11.000000,11.840000,11.000000,11.840000,11.840000,128400
2003-04-11,11.950000,12.000000,11.260000,11.680000,11.680000,93500
2003-04-14,11.650000,12.200000,11.650000,12.030000,12.030000,98700
2003-04-15,12.000000,12.180000,11.750000,11.910000,11.910000,95900
2003-04-16,11.880000,11.980000,11.720000,11.840000,11.840000,71000
2003-04-17,11.980000,12.100000,11.760000,11.950000,11.950000,66000
2003-04-21,11.950000,11.950000,11.320000,11.470000,11.470000,220100
2003-04-22,11.470000,11.470000,10.550000,11.110000,11.110000,200500
2003-04-23,11.190000,11.640000,11.000000,11.350000,11.350000,88200
2003-04-24,11.200000,11.390000,10.680000,10.830000,10.830000,213000
2003-04-25,10.850000,10.850000,10.070000,10.150000,10.150000,468000
2003-04-28,10.100000,10.350000,10.100000,10.300000,10.300000,288600
2003-04-29,9.600000,10.440000,8.500000,8.540000,8.540000,1097000
2003-04-30,8.640000,8.640000,7.600000,8.000000,8.000000,1299700
2003-05-01,8.090000,8.870000,8.000000,8.710000,8.710000,857200
2003-05-02,8.800000,10.140000,8.750000,9.870000,9.870000,728800
2003-05-05,10.240000,10.680000,10.160000,10.630000,10.630000,263300
2003-05-06,10.610000,12.240000,10.550000,11.740000,11.740000,451700
2003-05-07,11.740000,11.740000,11.000000,11.040000,11.040000,301600
2003-05-08,10.970000,11.230000,10.850000,11.090000,11.090000,211300
2003-05-09,11.140000,12.000000,11.050000,11.550000,11.550000,384800
2003-05-12,11.800000,12.400000,11.550000,12.130000,12.130000,253800
2003-05-13,12.150000,12.750000,12.000000,12.600000,12.600000,171700
2003-05-14,12.600000,13.490000,12.460000,13.210000,13.210000,191200
2003-05-15,13.400000,14.090000,13.200000,13.900000,13.900000,221100
2003-05-16,13.900000,14.180000,13.050000,13.880000,13.880000,257800
2003-05-19,13.710000,14.000000,12.590000,13.400000,13.400000,307500
2003-05-20,13.010000,14.330000,12.940000,13.230000,13.230000,287600
2003-05-21,13.200000,13.440000,12.250000,13.440000,13.440000,232700
2003-05-22,13.260000,14.250000,13.050000,14.140000,14.140000,370800
2003-05-23,14.230000,14.830000,13.870000,14.610000,14.610000,155900
2003-05-27,14.800000,15.000000,14.180000,14.470000,14.470000,251500
2003-05-28,14.500000,14.890000,13.750000,14.060000,14.060000,164200
2003-05-29,14.000000,14.280000,13.690000,13.690000,13.690000,235300
2003-05-30,13.700000,13.890000,13.260000,13.450000,13.450000,246000
2003-06-02,13.550000,13.640000,12.750000,12.750000,12.750000,216600
2003-06-03,12.550000,12.650000,11.570000,11.670000,11.670000,548900
2003-06-04,11.750000,13.000000,11.080000,12.700000,12.700000,284200
2003-06-05,12.500000,13.150000,12.310000,12.900000,12.900000,85900
2003-06-06,12.810000,13.380000,12.170000,12.170000,12.170000,148700
2003-06-09,12.390000,12.390000,11.350000,11.940000,11.940000,190200
2003-06-10,12.000000,12.620000,11.870000,12.150000,12.150000,104100
2003-06-11,12.200000,13.990000,12.010000,13.900000,13.900000,507000
2003-06-12,14.120000,14.790000,13.410000,14.480000,14.480000,249700
2003-06-13,14.560000,14.560000,13.890000,14.020000,14.020000,125700
2003-06-16,13.710000,14.000000,13.350000,13.640000,13.640000,159100
2003-06-17,13.560000,14.150000,13.420000,13.670000,13.670000,84600
2003-06-18,13.800000,14.340000,13.640000,14.200000,14.200000,234300
2003-06-19,14.240000,14.450000,13.590000,13.640000,13.640000,135000
2003-06-20,13.800000,13.990000,13.500000,13.500000,13.500000,70700
2003-06-23,13.600000,14.200000,13.500000,13.690000,13.690000,127100
2003-06-24,13.560000,13.990000,13.560000,13.960000,13.960000,78700
2003-06-25,13.860000,14.590000,13.860000,14.200000,14.200000,452500
2003-06-26,14.050000,15.000000,13.690000,14.690000,14.690000,190700
2003-06-27,14.590000,15.000000,14.070000,14.400000,14.400000,134800
2003-06-30,14.590000,14.800000,14.160000,14.560000,14.560000,485000
2003-07-01,14.620000,14.690000,13.160000,13.710000,13.710000,322500
2003-07-02,13.750000,13.790000,12.500000,13.550000,13.550000,439100
2003-07-03,13.310000,13.310000,12.770000,13.270000,13.270000,50400
2003-07-07,13.550000,14.250000,13.500000,14.200000,14.200000,283200
2003-07-08,14.130000,14.600000,14.000000,14.590000,14.590000,304800
2003-07-09,14.640000,14.640000,14.000000,14.110000,14.110000,278200
2003-07-10,14.200000,14.200000,13.300000,13.550000,13.550000,191700
2003-07-11,13.880000,13.920000,13.200000,13.420000,13.420000,98900
2003-07-14,13.580000,14.900000,13.450000,14.530000,14.530000,350300
2003-07-15,14.550000,14.550000,12.750000,13.000000,13.000000,642600
2003-07-16,13.000000,13.100000,11.800000,12.500000,12.500000,638000
2003-07-17,12.450000,12.690000,11.900000,11.900000,11.900000,229500
2003-07-18,12.120000,13.000000,11.900000,12.990000,12.990000,211700
2003-07-21,13.140000,13.250000,12.200000,12.600000,12.600000,154100
2003-07-22,12.610000,13.030000,12.250000,13.030000,13.030000,188300
2003-07-23,13.000000,13.000000,12.460000,12.720000,12.720000,157300
2003-07-24,12.900000,13.000000,12.200000,12.400000,12.400000,239700
2003-07-25,12.400000,12.860000,12.000000,12.500000,12.500000,256300
2003-07-28,12.670000,13.480000,12.600000,13.440000,13.440000,210800
2003-07-29,13.510000,13.580000,12.500000,13.090000,13.090000,152300
2003-07-30,13.150000,13.560000,12.710000,13.530000,13.530000,463900
2003-07-31,11.750000,11.800000,10.750000,10.810000,10.810000,1605700
2003-08-01,11.020000,11.180000,10.510000,11.030000,11.030000,556400
2003-08-04,11.180000,11.250000,10.800000,11.050000,11.050000,296200
2003-08-05,11.050000,11.500000,11.050000,11.260000,11.260000,337100
2003-08-06,11.020000,11.210000,10.500000,10.510000,10.510000,247200
2003-08-07,10.790000,10.790000,10.450000,10.550000,10.550000,144000
2003-08-08,10.570000,10.700000,10.310000,10.470000,10.470000,119800
2003-08-11,10.500000,11.210000,10.310000,11.020000,11.020000,245500
2003-08-12,11.150000,11.520000,11.020000,11.260000,11.260000,202100
2003-08-13,11.210000,11.730000,11.000000,11.450000,11.450000,162900
2003-08-14,11.350000,11.500000,10.890000,11.250000,11.250000,83000
2003-08-15,11.360000,11.490000,11.350000,11.460000,11.460000,35100
2003-08-18,11.490000,11.960000,11.360000,11.650000,11.650000,146800
2003-08-19,11.760000,12.550000,11.600000,12.190000,12.190000,196400
2003-08-20,12.190000,12.720000,12.000000,12.530000,12.530000,243300
2003-08-21,12.250000,12.250000,11.400000,11.920000,11.920000,584700
2003-08-22,11.780000,12.010000,11.410000,11.770000,11.770000,226700
2003-08-25,11.800000,12.500000,11.200000,12.400000,12.400000,576100
2003-08-26,12.250000,14.150000,11.750000,13.400000,13.400000,1099000
2003-08-27,13.400000,13.900000,13.100000,13.730000,13.730000,411000
2003-08-28,13.750000,14.290000,13.420000,14.120000,14.120000,354600
2003-08-29,14.250000,14.600000,14.060000,14.250000,14.250000,235600
2003-09-02,14.490000,14.880000,14.400000,14.830000,14.830000,427400
2003-09-03,14.930000,16.520000,14.830000,16.080000,16.080000,1116700
2003-09-04,16.530001,16.600000,16.000000,16.299999,16.299999,341500
2003-09-05,16.639999,16.639999,15.700000,15.800000,15.800000,322500
2003-09-08,15.980000,16.190001,15.760000,16.049999,16.049999,167900
2003-09-09,16.020000,16.080000,15.340000,15.660000,15.660000,227700
2003-09-10,15.500000,15.500000,15.000000,15.010000,15.010000,168400
2003-09-11,15.010000,15.450000,15.010000,15.370000,15.370000,120000
2003-09-12,15.300000,15.510000,14.940000,15.160000,15.160000,174900
2003-09-15,15.370000,16.230000,15.150000,16.170000,16.170000,305500
2003-09-16,16.190001,16.230000,15.650000,15.940000,15.940000,134200
2003-09-17,15.890000,16.600000,15.890000,16.129999,16.129999,216000
2003-09-18,16.180000,16.870001,15.660000,16.580000,16.580000,248500
2003-09-19,16.750000,16.969999,16.389999,16.799999,16.799999,150200
2003-09-22,16.540001,16.760000,16.000000,16.170000,16.170000,172000
2003-09-23,16.450001,17.250000,16.160000,17.240000,17.240000,205100
2003-09-24,17.299999,18.549999,16.500000,16.700001,16.700001,1246000
2003-09-25,16.600000,16.700001,15.500000,15.660000,15.660000,192600
2003-09-26,15.650000,15.650000,14.250000,15.050000,15.050000,211000
2003-09-29,15.400000,15.710000,14.900000,14.900000,14.900000,317500
2003-09-30,15.000000,15.310000,13.760000,14.890000,14.890000,415300
2003-10-01,14.940000,16.400000,14.760000,16.280001,16.280001,544900
2003-10-02,16.170000,16.290001,15.750000,16.280001,16.280001,143900
2003-10-03,16.350000,17.250000,16.260000,16.860001,16.860001,362300
2003-10-06,17.250000,17.430000,17.049999,17.250000,17.250000,226800
2003-10-07,17.180000,17.200001,16.469999,16.670000,16.670000,153700
2003-10-08,16.650000,16.900000,16.010000,16.160000,16.160000,114200
2003-10-09,16.430000,16.900000,16.190001,16.190001,16.190001,254000
2003-10-10,15.860000,16.100000,14.500000,14.660000,14.660000,1030500
2003-10-13,14.940000,16.049999,14.800000,15.790000,15.790000,430100
2003-10-14,16.430000,16.879999,15.700000,15.870000,15.870000,396400
2003-10-15,15.990000,16.080000,14.520000,14.560000,14.560000,397000
2003-10-16,14.700000,14.750000,13.500000,13.960000,13.960000,662600
2003-10-17,13.850000,13.850000,12.650000,13.200000,13.200000,962800
2003-10-20,12.550000,13.430000,11.650000,13.020000,13.020000,876500
2003-10-21,13.300000,14.100000,13.250000,14.030000,14.030000,559900
2003-10-22,13.770000,14.080000,13.200000,13.200000,13.200000,349500
2003-10-23,13.170000,13.790000,13.030000,13.180000,13.180000,291900
2003-10-24,13.380000,13.380000,12.700000,12.850000,12.850000,329200
2003-10-27,13.100000,13.600000,12.900000,13.050000,13.050000,276400
2003-10-28,13.090000,13.200000,12.700000,12.840000,12.840000,376400
2003-10-29,12.800000,13.450000,12.730000,13.300000,13.300000,479000
2003-10-30,13.400000,15.270000,13.200000,14.600000,14.600000,1440400
2003-10-31,14.770000,15.240000,14.310000,14.800000,14.800000,366700
