Date,Open,High,Low,Close,Adj Close,Volume
2015-05-20,17.000000,17.000000,17.000000,17.000000,17.000000,0
2015-05-21,28.000000,28.740000,24.110001,25.680000,25.680000,12303900
2015-05-22,26.070000,31.100000,26.000000,28.309999,28.309999,2841200
2015-05-26,29.799999,30.340000,29.080000,29.650000,29.650000,820200
2015-05-27,30.670000,30.809999,27.000000,27.500000,27.500000,797600
2015-05-28,27.549999,27.740000,26.480000,27.450001,27.450001,400000
2015-05-29,27.250000,27.379999,26.870001,27.200001,27.200001,255400
2015-06-01,27.200001,27.440001,26.600000,27.330000,27.330000,256900
2015-06-02,27.469999,27.469999,26.650000,26.950001,26.950001,379800
2015-06-03,26.760000,27.500000,26.500000,27.440001,27.440001,302400
2015-06-04,27.420000,27.490000,25.510000,26.780001,26.780001,322600
2015-06-05,26.660000,27.389999,26.100000,27.389999,27.389999,129400
2015-06-08,26.900000,27.480000,26.820000,26.980000,26.980000,280900
2015-06-09,26.639999,28.459999,26.639999,28.340000,28.340000,337500
2015-06-10,28.450001,28.879999,27.950001,28.100000,28.100000,273400
2015-06-11,28.490000,30.730000,28.490000,30.730000,30.730000,460600
2015-06-12,31.320000,33.700001,31.250000,33.630001,33.630001,847400
2015-06-15,33.970001,38.119999,32.919998,35.500000,35.500000,1694300
2015-06-16,36.060001,38.379002,35.840000,38.110001,38.110001,1109500
2015-06-17,39.630001,42.130001,38.009998,38.630001,38.630001,1595200
2015-06-18,38.419998,38.889999,34.326000,35.549999,35.549999,1148200
2015-06-19,36.330002,36.740002,32.549999,35.520000,35.520000,979700
2015-06-22,36.759998,38.500000,36.090000,36.939999,36.939999,792200
2015-06-23,37.750000,38.099998,35.169998,35.430000,35.430000,293900
2015-06-24,35.119999,37.429001,34.139999,35.959999,35.959999,564400
2015-06-25,36.340000,36.500000,34.799999,34.840000,34.840000,208200
2015-06-26,34.869999,35.320000,32.630001,33.520000,33.520000,346500
2015-06-29,32.520000,33.509998,31.200001,31.320000,31.320000,315500
2015-06-30,31.500000,34.439999,31.500000,33.950001,33.950001,473300
2015-07-01,34.029999,34.970001,29.879999,31.110001,31.110001,1012600
2015-07-02,31.510000,31.730000,30.620001,31.309999,31.309999,303200
2015-07-06,31.070000,31.740000,30.379999,30.530001,30.530001,149300
2015-07-07,30.469999,30.830000,28.500000,30.760000,30.760000,348900
2015-07-08,30.020000,30.360001,29.030001,29.190001,29.190001,186900
2015-07-09,29.730000,30.379999,28.799999,29.059999,29.059999,249100
2015-07-10,29.320000,30.290001,29.100000,29.600000,29.600000,280500
2015-07-13,29.850000,30.990000,29.760000,30.420000,30.420000,220100
2015-07-14,30.780001,31.327000,30.500000,30.860001,30.860001,145500
2015-07-15,30.889999,31.010000,28.910000,29.340000,29.340000,357000
2015-07-16,29.059999,29.870001,28.931000,29.389999,29.389999,148200
2015-07-17,29.320000,32.349998,29.150000,32.270000,32.270000,1619800
2015-07-20,32.369999,33.930000,31.641001,33.750000,33.750000,414000
