Date,Open,High,Low,Close,Adj Close,Volume,Return,Change,Volatility,MA7,MA21,Momentum,RSI,MACD,Signal,Upper_band,Lower_band
2015-12-18,12.4,12.58,12.1,12.34,12.34,1608900,-0.005,0.019999999999999574,0.26905742344818206,12.247142857142862,12.192857142857147,9.47,40.19774309640559,-0.11804333448210258,-0.18246433937113374,12.810275732053904,11.575438553660389
2015-12-21,12.37,12.48,12.02,12.24,12.24,703900,-0.011,-0.09999999999999964,0.2594004454169688,12.27428571428572,12.153333333333338,9.27,38.334284468147175,-0.1101353790221129,-0.1679985473013296,12.623666548547119,11.683000118119557
2015-12-22,12.32,12.46,12.12,12.46,12.46,502400,0.011,0.22000000000000064,0.25945669896972856,12.34714285714286,12.134761904761907,9.32,44.43684817959227,-0.08513472583810788,-0.15142578300868526,12.510933091729706,11.758590717794108
2015-12-23,12.41,12.66,12.31,12.5,12.5,512300,0.007,0.03999999999999915,0.261040309595916,12.371428571428575,12.152857142857144,9.34,45.49303928914124,-0.06138624000063153,-0.13341787440707453,12.561226723366902,11.744487562347386
2015-12-24,12.59,12.6,12.45,12.6,12.6,318500,0.001,0.09999999999999964,0.26891858286268727,12.390000000000002,12.180476190476194,9.24,48.14676587448314,-0.03410311018494028,-0.11355492156264768,12.627711081354631,11.733241299597756
2015-12-28,12.6,12.84,12.49,12.83,12.83,1622700,0.018,0.23000000000000043,0.2973425505837155,12.470000000000002,12.224761904761909,9.46,53.72690786118336,0.006008779102966599,-0.08964218142952483,12.735080199461171,11.714443610062647
2015-12-29,12.83,12.83,12.5,12.74,12.74,852200,-0.007,-0.08999999999999986,0.3083791826027175,12.530000000000001,12.257619047619052,9.5,51.396138767403556,0.030187509694881598,-0.06567624320464356,12.807960932701581,11.707277162536522
2015-12-30,12.66,12.83,12.53,12.78,12.78,939300,0.009,0.03999999999999915,0.31919619156860474,12.592857142857143,12.292857142857144,9.6,52.38481712221683,0.051977825575214354,-0.04214542944867198,12.878319109414935,11.707395176299354
2015-12-31,12.7,13.5,12.65,13.09,13.09,2462300,0.031,0.3100000000000005,0.35829540971069795,12.714285714285717,12.349047619047619,9.83,59.29539253754783,0.09318701521849526,-0.015078940515238535,13.002711286751577,11.695383951343661
2016-01-04,12.75,12.9,12.05,12.16,12.16,2751500,-0.046,-0.9299999999999997,0.3518068124549104,12.671428571428574,12.36,9.74,40.367372873572954,0.05022342288524051,-0.002018467835142727,12.991506136153879,11.72849386384612
2016-01-05,12.2,12.34,11.5,11.51,11.51,2352800,-0.057,-0.6500000000000004,0.40055452065286656,12.530000000000003,12.34047619047619,9.78,32.54724935653911,-0.03586170983038883,-0.008787116234191948,13.049686348059293,11.631266032893087
2016-01-06,11.5,11.64,11.015,11.52,11.52,1850600,0.002,0.009999999999999787,0.43413140523675037,12.37571428571429,12.315714285714282,10.09,32.76305481576706,-0.10210092537875681,-0.02744987806310492,13.101196848947138,11.530231722481426
2016-01-07,11.13,11.37,11.0,11.16,11.16,1636000,0.003,-0.35999999999999943,0.4986576629516616,12.13714285714286,12.258571428571425,9.16,29.147675474376598,-0.1815521520861214,-0.05827033286770822,13.19131546021753,11.325827396925321
2016-01-08,11.25,11.54,11.2,11.31,11.31,587300,0.005,0.15000000000000036,0.5293758351471888,11.932857142857147,12.219999999999997,8.51,32.49045773400523,-0.22976548181883238,-0.09256936265793306,13.239745066180756,11.200254933819238
2016-01-11,11.43,11.87,11.4,11.84,11.84,1676900,0.036,0.5299999999999994,0.5196527463751478,11.798571428571433,12.212857142857139,8.52,42.76545096973202,-0.22264184577672452,-0.11858385928169135,13.241431746026844,11.184282539687434
2016-01-12,11.94,12.225,11.71,12.09,12.09,2136100,0.013,0.25,0.5049175195345621,11.655714285714291,12.214761904761898,8.16,46.87298016112636,-0.19458040049271652,-0.1337831675238964,13.242217384043002,11.187306425480795
2016-01-13,12.06,12.17,11.08,11.61,11.61,2095200,-0.037,-0.4800000000000004,0.5060363561275438,11.577142857142862,12.198571428571423,8.31,40.816211365918775,-0.20866809549250753,-0.14876015311761864,13.253887224232338,11.143255632910508
2016-01-14,11.51,11.645,10.79,10.82,10.82,1604900,-0.06,-0.7899999999999991,0.575823888758001,11.478571428571433,12.126666666666662,8.84,33.21015030610799,-0.28034742239556465,-0.17507760697320784,13.338530245347584,10.914803087985739
2016-01-15,10.62,10.8,10.1,10.27,10.27,1203700,-0.033,-0.5500000000000007,0.6929757654314033,11.300000000000006,12.021904761904757,9.09,29.13895965170157,-0.37718624065413486,-0.21549933370939325,13.467029241631248,10.576780282178266
2016-01-19,10.33,10.47,9.05,9.47,9.47,2741500,-0.083,-0.7999999999999989,0.8813661009544138,11.058571428571435,11.888571428571423,8.61,24.444879677245893,-0.5125763547808884,-0.2749147379236923,13.706221402733508,10.070921454409337
2016-01-20,9.19,9.57,8.265,9.49,9.49,3751100,0.033,0.019999999999999574,1.0082617413024975,10.798571428571433,11.753809523809517,7.82,24.77115597290087,-0.6112144629453695,-0.3421746829280278,13.837311155106946,9.670307892512088
2016-01-21,9.57,10.176,9.43,10.02,10.02,1384500,0.047,0.5299999999999994,1.0519299614477082,10.538571428571432,11.643333333333326,7.27,33.02514624477213,-0.6392504227557723,-0.4015898308935767,13.839287188343338,9.447379478323313
2016-01-22,10.35,10.65,9.75,9.85,9.85,1128900,-0.048,-0.16999999999999993,1.0979275724034836,10.218571428571432,11.529523809523802,6.470000000000001,31.819203728787855,-0.6674922667923475,-0.4547703180733309,13.84032865797359,9.218718961074014
2016-01-25,9.87,10.08,9.7,9.81,9.81,737500,-0.006,-0.03999999999999915,1.135474435826135,9.961428571428574,11.403333333333325,6.49,31.527483252359715,-0.6852032013874734,-0.5008568947361594,13.788942968905193,9.017723697761458
2016-01-26,9.78,9.9,9.54,9.54,9.54,756500,-0.025,-0.27000000000000135,1.1836919376228003,9.77857142857143,11.262380952380944,7.02,29.55762235591287,-0.7128091677923436,-0.5432473493473963,13.724403736693915,8.800358168067973
2016-01-27,9.41,9.5,8.88,9.05,9.05,1347300,-0.038,-0.48999999999999844,1.260371072368296,9.604285714285718,11.093333333333325,6.85,26.34103011786253,-0.7654029116389829,-0.5876784618057136,13.655093145129376,8.531573521537274
2016-01-28,9.13,9.26,8.65,8.74,8.74,1202200,-0.043,-0.3100000000000005,1.3457072706861564,9.500000000000002,10.89857142857142,6.8100000000000005,24.522807718815102,-0.822615640730918,-0.6346658975907545,13.526827776147021,8.27031508099582
